"Feature",Pvalues,FDR,colon,TI,LDAscore
Ruminiclostridium,0.00018248,0.0019876,63809,587.83,4.5
Anaeroplasma,0.0002173,0.0019876,52375,117.57,4.42
Ruminiclostridium_9,0.00022754,0.0019876,20339,411.48,4
Pseudomonas,0.00029523,0.0019876,676,5143.5,-3.35
Oscillibacter,0.00034368,0.0019876,54815,1440.2,4.43
Alistipes,0.00034612,0.0019876,319660,5290.4,5.2
Lachnospiraceae_NK4A136_group,0.00034858,0.0019876,651430,24836,5.5
Lactobacillus,0.00034858,0.0019876,3820500,7223900,-6.23
Ruminiclostridium_6,0.00048328,0.0019876,9640.4,0,3.68
Lachnospiraceae_UCG_001,0.0004835,0.0019876,138170,12109,4.8
Roseburia,0.00048677,0.0019876,95287,6319.1,4.65
Intestinimonas,0.00062882,0.0023702,11698,734.78,3.74
Streptococcus,0.00075327,0.0024843,1616.5,8935,-3.56
Anaerotruncus,0.00081121,0.0024843,13256,88.174,3.82
Bacteroides,0.00081121,0.0024843,118390,29.391,4.77
Acetatifactor,0.0011962,0.0031771,21573,793.57,4.02
Prevotellaceae_UCG_001,0.001221,0.0031771,224960,205.74,5.05
ASF356,0.001232,0.0031771,25394,1734.1,4.07
Marvinbryantia,0.0016918,0.004145,27216,4291.1,4.06
Lachnospiraceae_FCS020_group,0.0020814,0.0048567,20045,1822.3,3.96
Odoribacter,0.002216,0.0049356,117040,323.31,4.77
Butyricicoccus,0.003004,0.0063999,11786,1087.5,3.73
Erysipelatoclostridium,0.0042161,0.0085077,14519,176.35,3.86
Parabacteroides,0.0045143,0.0085077,10963,0,3.74
Mucispirillum,0.0045143,0.0085077,45733,0,4.36
Tyzzerella_3,0.0064997,0.011796,12256,1410.8,3.73
Ruminococcaceae_UCG_003,0.011853,0.020742,5760.7,0,3.46
Ruminococcaceae_UCG_014,0.013334,0.02253,16342,2028,3.85
Candidatus_Saccharimonas,0.01496,0.024435,25835,4790.8,4.02
Ruminiclostridium_5,0.018053,0.028535,20721,7053.9,3.83
GCA_900066575,0.023832,0.036493,2674.6,499.65,3.04
Angelakisella,0.031073,0.046138,6554.3,58.783,3.51
A2,0.067374,0.097098,42735,9816.7,4.22
DNF00809,0.093229,0.13052,6583.7,18164,-3.76
Candidatus_Arthromitus,0.098797,0.13447,154010,906190,-5.58
Lachnoclostridium,0.12228,0.16193,86558,58019,4.15
Escherichia_Shigella,0.12586,0.16229,7406.6,940.52,3.51
Ruminococcaceae_UCG_013,0.19874,0.24519,1822.3,1440.2,2.28
Phyllobacterium,0.20016,0.24519,558.44,1116.9,-2.45
Lachnospiraceae_UCG_006,0.45198,0.54017,12638,13109,-2.37
Parasutterella,0.47947,0.55939,30978,13667,3.94
Family_XIII_UCG_001,0.59368,0.67652,2145.6,1381.4,2.58
Turicibacter,0.62649,0.69769,123000,126290,-3.22
Clostridium_sensu_stricto_1,0.75481,0.82148,140730,38003,4.71
Muribaculum,0.77119,0.82148,14078,7406.6,3.52
Bifidobacterium,0.79098,0.82463,38885,27981,3.74
Romboutsia,0.92833,0.9296,40913,42294,-2.84
Enterorhabdus,0.9296,0.9296,34652,35622,-2.69
