#NAME,Experiment,Tissue type,DOL,Genotype
139A,C,colon,DOL14,Sig Homo_HET
140A,C,colon,DOL14,Sig WT 
141A,C,colon,DOL14,Sig Homo_HET
142A,C,colon,DOL14,Sig Homo_HET
143A,C,colon,DOL14,Sig Homo_HET 
144A,C,colon,DOL14,Sig Homo_HET
145A,C,colon,DOL14,Sig Homo_HET
146A,C,colon,DOL14,Sig WT 
147A,C,colon,DOL14,Sig Homo_HET
148A,C,colon,DOL14,Sig Homo_HET
149A,C,colon,DOL14,Sig Homo_HET
150A,C,colon,DOL14,Sig Homo_HET 
151A,C,colon,DOL14,Sig WT 
152A,C,colon,DOL14,Sig Homo_HET 
153A,C,colon,DOL14,Sig Homo_HET 
154A,C,colon,DOL14,Sig Homo_HET 
155A,C,colon,DOL14,Sig Homo_HET
156A,C,colon,DOL14,Sig WT 
157A,C,colon,DOL14,Sig Homo_HET 
158A,C,colon,DOL14,Sig WT 
159A,C,colon,DOL14,Sig Homo_HET 
160A,C,colon,DOL14,Sig Homo_HET 
161A,C,colon,DOL14,Sig WT 
162A,C,colon,DOL14,Sig WT 
163A,C,colon,DOL14,Sig Homo_HET
164A,C,colon,DOL14,Sig Homo_HET 
165A,C,colon,DOL14,Sig Homo_HET
166A,C,colon,DOL14,Sig Homo_HET 
167A,C,colon,DOL14,Sig WT 
168A,C,colon,DOL14,Sig Homo_HET 
169A,C,colon,DOL14,Sig Homo_HET 
249A,C,colon,DOL14,Sig Homo_HET
250A,C,colon,DOL14,Sig Homo_HET
251A,C,colon,DOL14,Sig Homo_HET
252A,C,colon,DOL14,Sig Homo_HET
253A,C,colon,DOL14,Sig Homo_HET
254A,C,colon,DOL14,Sig Homo_HET
255A,C,colon,DOL14,Sig Homo_HET
256A,C,colon,DOL14,Sig Homo_HET
257A,C,colon,DOL14,Sig Homo_HET
258A,C,colon,DOL14,Sig WT
259A,C,colon,DOL14,Sig WT
260A,C,colon,DOL14,Sig WT
261A,C,colon,DOL14,Sig WT
262A,C,colon,DOL14,Sig Homo_HET
263A,C,colon,DOL14,Sig Homo_HET
