"","2","5","10","11","18","20","22","25","27","32","36","39","40","44","46"
"Lactobacillus",60362,4943,3715,43801,10496,23116,39166,48101,2634,15604,38473,50236,37344,24888,37853
"Escherichia_Shigella",119,53173,55474,24137,57355,41451,28705,20670,62754,51753,105,112,30218,38442,29469
"Muribacter",950,1931,1659,281,93,51,901,177,143,88,6684,4417,294,103,531
"Staphylococcus",3042,6108,7130,103,840,690,40,25,1237,20,11945,1345,15,184,0
"Streptococcus",4166,409,626,710,188,140,724,902,111,75,4581,2829,1657,1350,1650
"Enterococcus",15,41,31,12,16,26,0,6,66,35,103,127,20,76,6
"Pseudomonas",2,0,9,0,0,0,0,0,0,3,8,0,0,7,0
"Lachnospiraceae_NK4A136_group",93,195,109,75,70,320,48,35,172,150,464,522,55,290,71
"Muribaculaceae",410,939,453,390,320,1125,163,131,885,655,1541,2871,239,1432,172
"Lachnospiraceae",31,57,25,11,9,90,12,0,66,53,196,292,17,131,16
"Bacteroides",62,167,71,48,44,171,40,21,81,122,233,277,35,165,56
"Turicibacter",0,0,0,0,0,8,0,0,1,0,1492,6,7,5,0
"Parabacteroides",0,0,2,0,0,3,0,0,0,5,10,9,0,2,0
"Phyllobacterium",73,201,82,75,91,276,43,28,171,144,407,650,31,314,54
"Odoribacter",0,4,0,0,5,14,0,0,6,13,27,31,1,10,3
"Rikenellaceae_RC9_gut_group",58,64,60,49,35,121,38,17,91,101,186,302,24,164,32
"Prevotellaceae_UCG_001",50,119,40,47,89,141,21,33,116,81,196,272,26,170,42
"Lachnoclostridium",11,27,16,0,0,62,5,0,9,8,29,30,0,17,0
"Muribaculum",0,11,12,0,0,17,5,0,16,15,14,53,0,10,0
"Alistipes",77,166,72,51,48,105,31,6,116,145,266,373,23,132,43
"Anaerotruncus",8,20,0,9,9,0,7,7,0,5,32,44,4,34,0
"Alloprevotella",81,207,87,74,81,167,56,37,126,119,257,540,62,259,95
"Peptococcaceae",5,31,7,0,5,3,0,0,13,18,8,20,0,13,0
"Ruminococcaceae",0,13,0,0,0,11,0,0,6,0,22,26,0,14,0
"Roseburia",0,14,13,0,0,12,0,0,0,0,0,14,0,18,0
"Ruminiclostridium_9",43,109,28,24,26,91,28,10,85,46,150,145,12,140,8
"Anaeroplasma",5,0,0,0,0,19,0,0,0,0,11,4,0,3,1
"Aeromonas",134,190,66,79,54,338,65,33,154,160,428,565,57,253,50
"Prosthecobacter",78,116,68,43,43,125,34,24,107,77,185,189,45,118,35
"Acetobacter",59,48,28,27,24,59,26,10,29,52,133,181,21,164,36
"Wolbachia",48,109,51,39,34,97,32,16,73,87,109,238,24,147,26
"Clostridiales_vadinBB60_group",2,19,18,13,4,29,0,0,14,26,67,126,8,34,7
"Ruminiclostridium",0,24,9,0,10,25,0,0,17,0,27,56,0,29,0
"Intestinimonas",0,0,6,0,0,3,0,0,14,0,0,26,10,12,0
"Desulfovibrio",6,17,0,2,8,0,0,0,17,8,22,37,0,24,0
"Terrimicrobium",34,82,49,26,65,91,49,29,67,85,128,212,41,83,22
"Proteus",24,37,10,13,8,53,0,3,109,32,88,172,6,49,10
"Oscillibacter",7,14,0,13,4,50,7,5,10,23,100,127,7,86,14
"Acetatifactor",0,8,0,0,0,13,0,0,0,0,27,16,0,0,0
"Akkermansia",30,93,31,29,51,111,25,9,69,31,101,138,20,95,27
"Sphingomonas",40,80,57,30,28,93,20,9,62,28,175,239,25,91,7
"Butyricicoccus",7,14,13,10,0,35,13,5,21,7,44,121,5,42,10
"Chitinophagaceae",43,87,77,21,65,172,38,7,110,75,201,259,22,166,8
"Dyadobacter",34,39,44,23,21,74,21,16,80,54,83,138,20,85,8
"Pseudacidovorax",14,41,16,28,28,66,17,14,54,30,50,124,0,83,9
"Rhodospirillales",1,12,0,1,5,9,3,0,6,5,28,68,0,10,0
"Neisseriaceae",8,27,9,15,18,33,2,0,18,31,73,88,0,44,2
"Bilophila",1,51,2,4,11,44,4,0,26,12,22,76,6,38,11
"Sericytochromatia",16,35,20,14,17,31,13,8,41,32,47,119,0,38,0
"Chryseobacterium",19,39,23,16,21,58,0,12,52,46,96,149,12,33,8
"Persicitalea",28,29,34,12,26,41,0,0,41,24,72,167,0,25,9
"Ruminiclostridium_5",0,0,0,0,0,5,0,0,6,0,0,15,0,7,0
"Zoogloea",25,6,16,18,12,26,16,0,16,29,25,85,0,10,0
"Citrobacter",17,14,0,14,0,46,0,0,1,10,37,65,0,25,0
"Leucobacter",14,13,0,8,0,38,0,0,25,12,37,42,0,18,0
"Verrucomicrobiaceae",7,11,0,3,0,18,0,0,18,5,35,46,0,10,0
"Luteolibacter",0,10,0,4,10,21,9,2,11,10,40,31,9,4,2
"Isosphaeraceae",0,12,7,6,0,18,0,6,13,10,30,38,0,10,0
"Chitinophagales",5,36,5,2,12,17,0,4,45,28,33,99,1,62,4
"Taonella",0,17,7,0,2,29,0,0,21,10,28,43,5,11,0
"GCA_900066575",0,1,0,0,0,4,0,0,6,11,11,16,0,8,0
"Bdellovibrio",17,14,0,0,0,13,5,15,21,25,42,125,0,23,0
"Lysinibacillus",0,17,6,0,0,15,17,0,8,4,35,61,0,12,0
"Gastranaerophilales",0,11,2,10,0,2,0,0,7,3,0,11,0,8,0
"37_13",5,1,0,7,0,15,0,0,12,0,46,42,4,0,0
"Tabrizicola",7,15,0,0,6,9,0,0,0,6,0,32,0,0,0
"Runella",11,11,0,10,0,14,3,0,0,16,16,38,0,0,2
"Bosea",0,0,0,0,0,3,0,0,0,18,23,62,0,21,13
"Cloacibacterium",0,0,13,2,8,33,0,0,13,13,24,55,5,10,8
"NS11_12_marine_group",0,8,2,0,0,23,0,0,5,0,11,24,0,3,0
"Paenarthrobacter",0,0,17,0,9,23,0,0,6,17,15,13,0,18,0
"Pseudochrobactrum",0,0,11,0,0,25,0,0,0,0,27,51,0,0,0
"Novosphingobium",0,5,0,0,6,13,0,0,9,0,9,18,0,6,0
"Achromobacter",0,0,5,0,0,10,0,0,5,7,40,14,0,18,0
"env_OPS_17",0,12,0,0,0,12,0,0,9,0,0,23,0,7,0
"Cupriavidus",13,5,0,0,0,15,0,0,0,0,9,19,0,0,2
"Delftia",0,7,0,5,4,6,0,0,0,0,0,25,0,0,0
"Clostridium_sensu_stricto_9",10,0,0,1,0,22,0,1,10,6,36,12,0,0,0
"Elizabethkingia",3,5,0,0,0,22,0,4,4,7,12,19,0,0,0
"Rikenella",0,0,4,0,0,8,0,0,0,0,9,5,0,8,0
"C39",0,7,0,0,0,0,0,0,0,5,13,28,0,6,0
"Fimbriimonadaceae",0,3,5,0,0,7,0,0,7,0,5,6,0,16,0
"Helicobacter",6,0,0,0,0,0,0,0,13,0,5,8,0,1,0
"Shinella",0,21,0,7,0,18,0,0,0,0,24,17,0,0,0
"Aminobacter",0,15,0,0,0,8,0,0,13,0,15,17,0,0,0
"Sphingomonadaceae",16,0,0,0,18,30,0,14,44,0,0,0,10,0,20
"Bacteroidia",0,0,0,0,0,4,0,0,8,0,0,28,5,8,0
"Stakelama",0,15,0,0,0,0,0,0,0,17,14,41,0,0,0
