"",Response,samples,variable,value,se
"1",PBS-SCB34,S33,Chao1,23,0
"2",PBS-SCB34,S29,Chao1,14,0
"3",PBS-SCB34,S30,Chao1,19,0
"4",PBS-SCB34,S31,Chao1,16,0
"5",PBS-SCB34,S32,Chao1,15,0
"6",Lac-SCB34,S34,Chao1,17,0
"7",Lac-SCB34,S35,Chao1,16,0
"8",Lac-SCB34,S36,Chao1,17,0
"9",Lac-SCB34,S37,Chao1,15,0
"10",Lac-SCB34,S38,Chao1,16,0
"11",Lac-SCB34,S39,Chao1,18,0
"12",PBS-PBS,S19,Chao1,17,0
"13",Lac-PBS,S28,Chao1,13,0
"14",PBS-PBS,S20,Chao1,16,0
"15",PBS-PBS,S21,Chao1,12,0
"16",PBS-PBS,S22,Chao1,17,0
"17",PBS-PBS,S23,Chao1,15,0
"18",Lac-PBS,S24,Chao1,13,0
"19",Lac-PBS,S25,Chao1,17,0
"20",Lac-PBS,S26,Chao1,2,0
"21",Lac-PBS,S27,Chao1,11,0
